"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"Gene.ID";"Gene.Names"
"ENSG00000117318";7541,54949979947;5,72297051796911;0,15236178342404;37,5617191487017;9,0696777197037e-309;1,6070561951543e-304;"ENSG00000117318";"ID3"
"ENSG00000172201";7451,37336073145;3,79781923225394;0,112322163115948;33,8118419989251;1,32110474911028e-250;1,17043275247425e-246;"ENSG00000172201";"ID4"
"ENSG00000125968";19240,2828356761;4,00439774818711;0,150663589604092;26,5784039707916;1,20636247003442e-155;7,12517886884662e-152;"ENSG00000125968";"ID1"
"ENSG00000115738";1833,64139858892;3,48223613643426;0,150002205682155;23,2145662165322;3,24516248277132e-119;1,43752585080562e-115;"ENSG00000115738";"ID2"
"ENSG00000019549";638,379703009265;4,31023047169515;0,197523797877349;21,8213223824885;1,45588125722318e-105;5,15935199934751e-102;"ENSG00000019549";"SNAI2"
"ENSG00000106366";563,471255018843;3,31401102147686;0,169953784002501;19,4994835856558;1,10896317981726e-84;3,27495309719701e-81;"ENSG00000106366";"SERPINE1"
"ENSG00000137834";2261,89573515279;2,59338084025833;0,134881201251185;19,2271481585396;2,19364140597014e-82;5,55273315319784e-79;"ENSG00000137834";"SMAD6"
"ENSG00000187634";1901,93637118869;2,894522467133;0,168725455506796;17,1552209382918;5,74511555819324e-66;1,27247128219533e-62;"ENSG00000187634";"SAMD11"
"ENSG00000101665";2554,54623948277;2,04493034003196;0,120973204994031;16,9039940715207;4,2043822045853e-64;8,27749425367189e-61;"ENSG00000101665";"SMAD7"
"ENSG00000105825";2419,18715448278;2,0177235920944;0,119934012209502;16,8236145437194;1,63849863143367e-63;2,90325572503732e-60;"ENSG00000105825";"TFPI2"
"ENSG00000117525";13605,480914043;2,37218089219998;0,150751394454054;15,7357144243397;8,60796657308474e-56;1,3865869064408e-52;"ENSG00000117525";"F3"
"ENSG00000120149";521,565625268627;2,36542687114177;0,162246314701515;14,5792332817757;3,80769049893407e-48;5,62237232921773e-45;"ENSG00000120149";"MSX2"
"ENSG00000142871";2215,66994188799;2,56069281335542;0,185608414325405;13,7962108165315;2,68604707574248e-43;3,66108216423701e-40;"ENSG00000142871";"CCN1"
"ENSG00000138670";300,873472561807;3,32808415995133;0,242675723681368;13,7141206770278;8,35734327260119e-43;1,05774118176586e-39;"ENSG00000138670";"RASGEF1B"
"ENSG00000166886";2893,29656576984;1,91146087991281;0,143335003621984;13,3356181784729;1,43658909209021e-40;1,6969948081831e-37;"ENSG00000166886";"NAB2"
"ENSG00000070404";4597,18316211889;1,9682974157577;0,148433614536298;13,260456008611;3,92501781895248e-40;4,34671192087619e-37;"ENSG00000070404";"FSTL3"
"ENSG00000256229";1217,85457795231;1,73909209638077;0,135721701867894;12,8136626084569;1,37488477972459e-37;1,43303431834942e-34;"ENSG00000256229";"ZNF486"
"ENSG00000148677";181,708333872118;3,13710124291267;0,248538915915445;12,622173197134;1,59361928309569e-36;1,56874111539847e-33;"ENSG00000148677";"ANKRD1"
"ENSG00000149591";1118,77071126056;2,12145106966883;0,16968353740806;12,5023977109052;7,24331502384277e-36;6,75496310039316e-33;"ENSG00000149591";"TAGLN"
"ENSG00000223764";222,678445903464;2,5219116718107;0,202410390186524;12,459398302067;1,24304928768233e-35;1,10127951642216e-32;"ENSG00000223764";"LINC02593"
"ENSG00000123358";344,888706704938;3,01074405379398;0,242454382836303;12,4177753298307;2,09300907071878e-35;1,76600132019363e-32;"ENSG00000123358";"NR4A1"
"ENSG00000075426";9226,1238374444;1,62003765833116;0,13123559462506;12,3444989368898;5,21579457217988e-35;4,20084836474796e-32;"ENSG00000075426";"FOSL2"
"ENSG00000214049";276,534240704169;2,88391459212594;0,2349372977826;12,2752522453654;1,2300783985766e-34;9,47641701929514e-32;"ENSG00000214049";"UCA1"
"ENSG00000171223";2859,03767074939;1,90452790897126;0,161907285023039;11,7630772988396;6,0488696157368e-32;4,46583003005168e-29;"ENSG00000171223";"JUNB"
"ENSG00000131016";13246,8771348039;1,41058178180109;0,121289524206062;11,6298731570965;2,9052895773794e-31;2,05915304086342e-28;"ENSG00000131016";"AKAP12"
"ENSG00000205730";4273,03361710296;1,32120368516659;0,113750544851118;11,6149218177007;3,46104831404755e-31;2,34141232504354e-28;"ENSG00000205730";"ITPRIPL2"
"ENSG00000179348";309,830957260423;2,10383227782671;0,18117236027273;11,6123247202812;3,56781606050994e-31;2,34141232504354e-28;"ENSG00000179348";"GATA2"
"ENSG00000122863";2014,99603101365;1,49879859231396;0,130462646346147;11,4883350467789;1,50993984785759e-30;9,55522291578165e-28;"ENSG00000122863";"CHST3"
"ENSG00000124225";2483,72704426319;2,02763492553235;0,178501424444843;11,3592086552726;6,67464971470391e-30;4,07821097568409e-27;"ENSG00000124225";"PMEPA1"
"ENSG00000137801";9574,1020387593;1,49264378484412;0,133315760619229;11,196304007201;4,25101113069328e-29;2,51078887415847e-26;"ENSG00000137801";"THBS1"
"ENSG00000124216";95,2664111764649;3,7311761224582;0,352334511908479;10,5898684243212;3,32058263386913e-26;1,83866886529772e-23;"ENSG00000124216";"SNAI1"
"ENSG00000115844";65,0189154619438;3,8540678851365;0,38017140578285;10,1377111127024;3,75801624498186e-24;1,95847911308334e-21;"ENSG00000115844";"DLX2"
"ENSG00000196639";1122,23523108818;1,61503979116032;0,159564978730299;10,1215179170995;4,43483722027503e-24;2,24516802017295e-21;"ENSG00000196639";"HRH1"
"ENSG00000047365";1463,21291048;1,36293360168452;0,135330856045608;10,0711222961982;7,41273358358963e-24;3,64850628798957e-21;"ENSG00000047365";"ARAP2"
"ENSG00000118985";2988,24908593016;1,20146897266121;0,121250010142289;9,90902162607052;3,80352418669678e-23;1,82147689362379e-20;"ENSG00000118985";"ELL2"
"ENSG00000100292";1185,61327203152;1,59504662999892;0,163958814467706;9,7283371752672;2,28294182476857e-22;1,03721656905319e-19;"ENSG00000100292";"HMOX1"
"ENSG00000104081";352,844368575604;1,9352090441419;0,199279541463472;9,71102718287128;2,70596225940994e-22;1,19867363186212e-19;"ENSG00000104081";"BMF"
"ENSG00000128342";1346,03707237815;1,86874108724411;0,193181065945797;9,67352094313652;3,90699966641892e-22;1,68849090461651e-19;"ENSG00000128342";"LIF"
"ENSG00000164736";1332,99859712723;1,61790695490842;0,167356967197516;9,66740125613629;4,14776604238548e-22;1,74986348821496e-19;"ENSG00000164736";"SOX17"
"ENSG00000136603";6296,17224200286;1,23770214956432;0,129832100035064;9,53309812619569;1,52657980947883e-21;6,29057387073383e-19;"ENSG00000136603";"SKIL"
"ENSG00000138386";5102,79820078708;1,09329100756183;0,115123397265488;9,49668819310964;2,16671642849603e-21;8,7254655446639e-19;"ENSG00000138386";"NAB1"
"ENSG00000019186";370,920271956999;2,16616610989285;0,230465740049712;9,39908078929908;5,50418144859387e-21;2,16730202416966e-18;"ENSG00000019186";"CYP24A1"
"ENSG00000198142";3408,85928240162;1,05047401838131;0,113758638477982;9,23423515291661;2,60137831606754e-20;1,00203961700871e-17;"ENSG00000198142";"SOWAHC"
"ENSG00000120693";177,22951176185;2,07574729303803;0,226079302226848;9,18150079459829;4,2512446122115e-20;1,60271921880374e-17;"ENSG00000120693";"SMAD9"
"ENSG00000127129";81,3754562236798;2,97897897733761;0,326479651107783;9,12454717232635;7,20367762864577e-20;2,65920758129113e-17;"ENSG00000127129";"EDN2"
"ENSG00000197019";1272,05422451942;1,62495079559687;0,178711061337565;9,09261454458899;9,66855193829857e-20;3,49626677132066e-17;"ENSG00000197019";"SERTAD1"
"ENSG00000183337";1710,69028545243;1,59394905672584;0,177393338533968;8,98539409596053;2,57808689882293e-19;8,95708269808697e-17;"ENSG00000183337";"BCOR"
"ENSG00000187678";1138,35500175554;1,60607434054328;0,178792603457532;8,98289028452325;2,63745487355913e-19;8,98712748165273e-17;"ENSG00000187678";"SPRY4"
"ENSG00000078401";1100,33941335622;1,51949821174768;0,170355940650229;8,91954930334646;4,68189610506422e-19;1,53626883491913e-16;"ENSG00000078401";"EDN1"
"ENSG00000164949";174,807510418018;2,00574854650592;0,227363982858613;8,82175145459695;1,12683146203563e-18;3,63024121378353e-16;"ENSG00000164949";"GEM"
"ENSG00000212724";74,383227977246;3,02864744704799;0,343417854166189;8,81913217471316;1,15350214107935e-18;3,64980436389018e-16;"ENSG00000212724";"KRTAP2-3"
"ENSG00000176170";340,342546521872;1,69676977633906;0,198299702216774;8,55659265934861;1,16252403793412e-17;3,61381814529029e-15;"ENSG00000176170";"SPHK1"
"ENSG00000130066";3240,4831699718;1,02863483440652;0,120397788666482;8,54363560825832;1,30063726496485e-17;3,97344684446761e-15;"ENSG00000130066";"SAT1"
"ENSG00000164741";3096,00429106982;1,47721163079566;0,173722500921505;8,50328324172084;1,84302494511269e-17;5,53501000041554e-15;"ENSG00000164741";"DLC1"
"ENSG00000228412";75,8095128230942;2,50660295543768;0,296004081979486;8,46813644823787;2,49350115949223e-17;7,36372450750714e-15;"ENSG00000228412";"LNC-LBCS"
"ENSG00000185950";407,519497364304;1,51526049575521;0,180676393050625;8,38659921294;5,00407405025205e-17;1,43011593703897e-14;"ENSG00000185950";"IRS2"
"ENSG00000020577";853,324258723867;1,21578212698637;0,145051011177864;8,3817556121381;5,21440156984925e-17;1,46657113358982e-14;"ENSG00000020577";"SAMD4A"
"ENSG00000125740";64,8095333177803;3,54505114993115;0,424446939847497;8,35216564691191;6,70225770397685e-17;1,82703545010409e-14;"ENSG00000125740";"FOSB"
"ENSG00000134531";3943,70727391092;1,35517502115267;0,162741191951423;8,3271789084424;8,27915770862007e-17;2,22270296119756e-14;"ENSG00000134531";"EMP1"
"ENSG00000115718";348,078496394412;2,01492141146606;0,242035869796052;8,3248876010151;8,4408795576537e-17;2,23229768480695e-14;"ENSG00000115718";"PROC"
"ENSG00000095752";45,6336224769953;3,99517074354045;0,483370900079448;8,26522809478974;1,39427892347228e-16;3,63312180073608e-14;"ENSG00000095752";"IL11"
"ENSG00000171604";2993,54400909781;1,26335608335593;0,153470241248486;8,23192869887005;1,84222903185337e-16;4,66320803077285e-14;"ENSG00000171604";"CXXC5"
"ENSG00000198517";619,818583206258;1,19209702261698;0,144939153070175;8,22481018665681;1,95500213626006e-16;4,87896941582986e-14;"ENSG00000198517";"MAFK"
"ENSG00000156427";873,707346592439;1,25824383915925;0,153968040292919;8,17211050270873;3,0304076735584e-16;7,45774910663629e-14;"ENSG00000156427";"FGF18"
"ENSG00000144136";6722,19889050314;1,18864736509792;0,145853557179857;8,14959462135133;3,65146229707869e-16;8,86304937560786e-14;"ENSG00000144136";"SLC20A1"
"ENSG00000144802";446,064841037325;1,5707861949038;0,195712798306986;8,02597586101617;1,00722027817659e-15;2,37959148120147e-13;"ENSG00000144802";"NFKBIZ"
"ENSG00000159200";1445,55968114584;1,06627197412479;0,133194385790936;8,00538226737592;1,19096126162254e-15;2,7766634993013e-13;"ENSG00000159200";"RCAN1"
"ENSG00000198853";2836,3734663192;1,25446137553746;0,157523128451482;7,96366468765152;1,6701746767223e-15;3,84335390868085e-13;"ENSG00000198853";"RUSC2"
"ENSG00000153250";4652,18723621037;1,0910287872336;0,137692880480258;7,92363979479699;2,30657172370461e-15;5,23976209901564e-13;"ENSG00000153250";"RBMS1"
"ENSG00000107984";121,34637160069;1,93312866390969;0,24403827533328;7,9214158568759;2,34821140784563e-15;5,2668301184325e-13;"ENSG00000107984";"DKK1"
"ENSG00000257671";177,53482743159;1,93458003420887;0,252173256380368;7,67163045747732;1,69823632146144e-14;3,66964016828966e-12;"ENSG00000257671";"KRT7-AS"
"ENSG00000117143";1855,35649605561;1,02514263671213;0,133742662753993;7,66503833259088;1,78777799564726e-14;3,81658292829804e-12;"ENSG00000117143";"UAP1"
"ENSG00000167767";2870,26401988771;1,16313669628776;0,152835500467386;7,61038301134733;2,73284837992868e-14;5,76468338618527e-12;"ENSG00000167767";"KRT80"
"ENSG00000258602";120,795098080246;2,23896622074304;0,294717864998904;7,59698167856693;3,03117431594608e-14;6,3187503181469e-12;"ENSG00000258602";"LINC01629"
"ENSG00000135480";11103,2459082508;1,00753281843357;0,133213769401137;7,56327835300312;3,93035276901614e-14;8,09789775746476e-12;"ENSG00000135480";"KRT7"
"ENSG00000113070";441,695030646529;1,36751633509432;0,184336900657457;7,41857072684267;1,18390951303499e-13;2,330854740163e-11;"ENSG00000113070";"HBEGF"
"ENSG00000099860";915,403220870683;1,12961460735057;0,152316613663213;7,41622716119634;1,20503747174473e-13;2,34638010569724e-11;"ENSG00000099860";"GADD45B"
"ENSG00000106617";1094,17734829345;1,09209401462477;0,148291469284407;7,36451004157393;1,7779867081807e-13;3,35150494492061e-11;"ENSG00000106617";"PRKAG2"
"ENSG00000178401";453,451466310993;1,60960777062039;0,220369416946127;7,30413408959504;2,79057981956777e-13;5,20487198136014e-11;"ENSG00000178401";"DNAJC22"
"ENSG00000128283";41,0586299834107;3,5868774077711;0,494142375975039;7,25879338053834;3,9055852233616e-13;7,20865255966085e-11;"ENSG00000128283";"CDC42EP1"
"ENSG00000184602";1134,26261042573;1,03248059813818;0,142698097146972;7,23541952402338;4,64092270668414e-13;8,47757829275631e-11;"ENSG00000184602";"SNN"
"ENSG00000164465";949,729792714092;1,02364159619849;0,141591783480183;7,22952682026039;4,84679785984703e-13;8,76330727332954e-11;"ENSG00000164465";"DCBLD1"
"ENSG00000061337";326,131061266086;1,33989442357095;0,186293776125416;7,19237352657937;6,3674541824869e-13;1,13964566322713e-10;"ENSG00000061337";"LZTS1"
"ENSG00000125398";120,402170351506;1,9459696688837;0,27075517632801;7,1871928554608;6,61369623029276e-13;1,17188083504557e-10;"ENSG00000125398";"SOX9"
